"OKV_SCHEMA","DL_NAAM","DL_ID","DL_RUN_ID","PROCES_NAAM","DL_FREQUENTIE_INFO","PROCES_STATUS","VERSCHIL","TYPE_DL_NAAM","AANTAL_RUNS_PER_BRON","AANTAL_RUNS_GOED","AANTAL_RUNS_FOUT","RUN_FOUT","START_TIJD","EIND_TIJD"
"OKV_PEOPLESOFTHCM_PO","psh.pshdagelijks",68,4136,"PlatBestandHarnas","weekdagelijks om 02:00 Uur","Afgebroken",61,"bestand",426,157,269,3,29-09-2022 02:00_15,29-09-2022 03:01_28
"OKV_PEERCODE_PO","peercode.peercodedagelijks",9,4135,"DetecteerPakbon","dagelijks","Afgebroken",300,"bestand",772,737,35,3,29-09-2022 02:00_17,29-09-2022 07:00_23
"OKV_PEERCODE_PO","peercode.peercodedagelijks",9,4135,"MasterBestandHarnas","dagelijks","Afgebroken",300,"bestand",772,737,35,3,29-09-2022 02:00_13,29-09-2022 07:00_34
"OKV_PEERCODE_PO","peercode.peercodedagelijks",9,4135,"PlatBestandHarnas","dagelijks","Afgebroken",300,"bestand",772,737,35,3,29-09-2022 02:00_14,29-09-2022 07:00_29
"OKV_UPA_PO","upa.upadagelijks",53,4107,"DetecteerPakbon","dagelijks, alleen op werkdagen","Afgebroken",0,"bestand",507,476,31,3,26-09-2022 09:01_54,26-09-2022 09:02_01
"OKV_UPA_PO","upa.upadagelijks",53,4107,"MasterBestandHarnas","dagelijks, alleen op werkdagen","Afgebroken",0,"bestand",507,476,31,3,26-09-2022 09:01_48,26-09-2022 09:02_13
"OKV_UPA_PO","upa.upadagelijks",53,4107,"PlatBestandHarnas","dagelijks, alleen op werkdagen","Afgebroken",0,"bestand",507,476,31,3,26-09-2022 09:01_51,26-09-2022 09:02_07
"OKV_BAS_PO","bas.baswekelijks_ass",34,4101,"DetecteerPakbon","wekelijks","Afgebroken",60,"bestand",162,138,24,3,24-09-2022 06:00_22,24-09-2022 07:00_29
"OKV_BAS_PO","bas.baswekelijks_ass",34,4101,"MasterBestandHarnas","wekelijks","Afgebroken",60,"bestand",162,138,24,3,24-09-2022 06:00_17,24-09-2022 07:00_38
"OKV_BAS_PO","bas.baswekelijks_ass",34,4101,"PlatBestandHarnas","wekelijks","Afgebroken",60,"bestand",162,138,24,3,24-09-2022 06:00_19,24-09-2022 07:00_33
"OKV_STORAGE_PO","storage.storagedagelijks",71,4094,"LadenBestanden","Dagelijks","Afgebroken",0,"bestand",504,166,338,3,23-09-2022 00:03_09,23-09-2022 00:03_23
"OKV_STORAGE_PO","storage.storagedagelijks",71,4094,"MasterBestandHarnas","Dagelijks","Afgebroken",2,"bestand",504,166,338,3,23-09-2022 00:01_23,23-09-2022 00:03_32
"OKV_STORAGE_PO","storage.storagedagelijks",71,4094,"PlatBestandHarnas","Dagelijks","Afgebroken",2,"bestand",504,166,338,3,23-09-2022 00:01_29,23-09-2022 00:03_28
"OKV_RESAFASA_PO","rf.brutos",38,4086,"ControlerenResafasaPakbon","dagelijks","Afgebroken",0,"bestand",586,542,44,3,21-09-2022 14:54_22,21-09-2022 14:54_28
"OKV_RESAFASA_PO","rf.brutos",38,4086,"MasterBestandHarnasResafasa","dagelijks","Afgebroken",8,"bestand",586,542,44,3,21-09-2022 14:46_25,21-09-2022 14:54_40
"OKV_RESAFASA_PO","rf.brutos",38,4086,"ResafasaPlatBestandHarnas","dagelijks","Afgebroken",8,"bestand",586,542,44,3,21-09-2022 14:46_26,21-09-2022 14:54_36
"OKV_UPA_PO","upa.upadagelijks",53,4014,"DetecteerPakbon","dagelijks, alleen op werkdagen","Afgebroken",2,"bestand",507,476,31,3,15-09-2022 13:19_48,15-09-2022 13:21_55
"OKV_UPA_PO","upa.upadagelijks",53,4014,"MasterBestandHarnas","dagelijks, alleen op werkdagen","Afgebroken",2,"bestand",507,476,31,3,15-09-2022 13:19_44,15-09-2022 13:22_04
"OKV_UPA_PO","upa.upadagelijks",53,4014,"PlatBestandHarnas","dagelijks, alleen op werkdagen","Afgebroken",2,"bestand",507,476,31,3,15-09-2022 13:19_46,15-09-2022 13:22_00
"OKV_UPA_PO","upa.upadagelijks",53,3952,"DetecteerPakbon","dagelijks, alleen op werkdagen","Afgebroken",2,"bestand",507,476,31,3,09-09-2022 10:01_59,09-09-2022 10:04_08
"OKV_UPA_PO","upa.upadagelijks",53,3952,"MasterBestandHarnas","dagelijks, alleen op werkdagen","Afgebroken",2,"bestand",507,476,31,3,09-09-2022 10:01_55,09-09-2022 10:04_21
"OKV_UPA_PO","upa.upadagelijks",53,3952,"PlatBestandHarnas","dagelijks, alleen op werkdagen","Afgebroken",2,"bestand",507,476,31,3,09-09-2022 10:01_57,09-09-2022 10:04_15
"OKV_UPA_PO","upa.upadagelijks",53,3909,"DetecteerPakbon","dagelijks, alleen op werkdagen","Afgebroken",2,"bestand",507,476,31,3,05-09-2022 11:45_01,05-09-2022 11:47_11
"OKV_UPA_PO","upa.upadagelijks",53,3909,"MasterBestandHarnas","dagelijks, alleen op werkdagen","Afgebroken",3,"bestand",507,476,31,3,05-09-2022 11:44_56,05-09-2022 11:47_27
"OKV_UPA_PO","upa.upadagelijks",53,3909,"PlatBestandHarnas","dagelijks, alleen op werkdagen","Afgebroken",2,"bestand",507,476,31,3,05-09-2022 11:44_58,05-09-2022 11:47_19
"OKV_PEOPLESOFTHCM_PO","psh.pshdagelijks",68,3898,"BronzoneHarnas","weekdagelijks om 02:00 Uur","Afgebroken",2,"bestand",426,157,269,3,02-09-2022 15:34_09,02-09-2022 15:36_03
"OKV_PEOPLESOFTHCM_PO","psh.pshdagelijks",68,3898,"LaadBronzoneLoop","weekdagelijks om 02:00 Uur","Afgebroken",1,"bestand",426,157,269,3,02-09-2022 15:34_59,02-09-2022 15:35_53
"OKV_PEOPLESOFTHCM_PO","psh.pshdagelijks",68,3898,"MasterBestandHarnas","weekdagelijks om 02:00 Uur","Afgebroken",4,"bestand",426,157,269,3,02-09-2022 15:31_59,02-09-2022 15:36_08
"OKV_PEOPLESOFTHCM_PO","psh.pshdagelijks",68,3892,"DetecteerPakbon","weekdagelijks om 02:00 Uur","Afgebroken",2,"bestand",426,157,269,3,01-09-2022 13:45_41,01-09-2022 13:47_47
"OKV_PEOPLESOFTHCM_PO","psh.pshdagelijks",68,3892,"MasterBestandHarnas","weekdagelijks om 02:00 Uur","Afgebroken",2,"bestand",426,157,269,3,01-09-2022 13:45_37,01-09-2022 13:47_56
"OKV_PEOPLESOFTHCM_PO","psh.pshdagelijks",68,3892,"PlatBestandHarnas","weekdagelijks om 02:00 Uur","Afgebroken",2,"bestand",426,157,269,3,01-09-2022 13:45_38,01-09-2022 13:47_51
"OKV_UPA_PO","upa.upadagelijks",53,3885,"DetecteerPakbon","dagelijks, alleen op werkdagen","Afgebroken",0,"bestand",507,476,31,3,01-09-2022 09:01_18,01-09-2022 09:01_25
"OKV_UPA_PO","upa.upadagelijks",53,3885,"MasterBestandHarnas","dagelijks, alleen op werkdagen","Afgebroken",0,"bestand",507,476,31,3,01-09-2022 09:01_13,01-09-2022 09:01_36
"OKV_UPA_PO","upa.upadagelijks",53,3885,"PlatBestandHarnas","dagelijks, alleen op werkdagen","Afgebroken",0,"bestand",507,476,31,3,01-09-2022 09:01_15,01-09-2022 09:01_30
