"OKV_SCHEMA,""DL_NAAM"",""DL_FREQUENTIE_INFO"",""TYPE_DL_NAAM"",""AANTAL_RUNS_PER_BRON"",""AANTAL_RUNS_GOED"",""AANTAL_RUNS_FOUT"",""DL_RUN_ID"",""RUN_FOUT"",""DL_ID"",""PROCES_NAAM"",""PROCES_STATUS"",""START_TIJD"",""EIND_TIJD"",""VERSCHIL"""
"OKV_PEOPLESOFTHCM_PO,""psh.pshdagelijks"",""weekdagelijks om 02:00 Uur"",""bestand"",408,157,251,10074,1,68,""ControlerenStaging"",""Klaar"",05-01-2024 02:03_10,05-01-2024 02:03_29,0"
"OKV_PEOPLESOFTHCM_PO,""psh.pshdagelijks"",""weekdagelijks om 02:00 Uur"",""bestand"",408,157,251,10074,1,68,""Creatie delta tabel"",""Klaar"",05-01-2024 02:04_25,05-01-2024 02:04_37,0"
"OKV_PEOPLESOFTHCM_PO,""psh.pshdagelijks"",""weekdagelijks om 02:00 Uur"",""bestand"",408,157,251,10074,1,68,""Creatie technische staging tabellen"",""Klaar"",05-01-2024 02:04_00,05-01-2024 02:04_30,0"
"OKV_PEOPLESOFTHCM_PO,""psh.pshdagelijks"",""weekdagelijks om 02:00 Uur"",""bestand"",408,157,251,10074,1,68,""DetecteerPakbon"",""Klaar"",05-01-2024 02:00_19,05-01-2024 02:01_33,1"
"OKV_PEOPLESOFTHCM_PO,""psh.pshdagelijks"",""weekdagelijks om 02:00 Uur"",""bestand"",408,157,251,10074,1,68,""GenereerSchemaFile"",""Klaar"",05-01-2024 02:02_14,05-01-2024 02:02_24,0"
"OKV_PEOPLESOFTHCM_PO,""psh.pshdagelijks"",""weekdagelijks om 02:00 Uur"",""bestand"",408,157,251,10074,1,68,""GenereerSchemaFiles"",""Klaar"",05-01-2024 02:02_10,05-01-2024 02:02_26,0"
"OKV_PEOPLESOFTHCM_PO,""psh.pshdagelijks"",""weekdagelijks om 02:00 Uur"",""bestand"",408,157,251,10074,1,68,""GenereerStagingSynonyms"",""Klaar"",05-01-2024 02:03_03,05-01-2024 02:03_09,0"
"OKV_PEOPLESOFTHCM_PO,""psh.pshdagelijks"",""weekdagelijks om 02:00 Uur"",""bestand"",408,157,251,10074,1,68,""GenereerStagingTabel"",""Klaar"",05-01-2024 02:02_31,05-01-2024 02:02_41,0"
"OKV_PEOPLESOFTHCM_PO,""psh.pshdagelijks"",""weekdagelijks om 02:00 Uur"",""bestand"",408,157,251,10074,1,68,""GenereerStagingTabellen"",""Klaar"",05-01-2024 02:02_28,05-01-2024 02:02_45,0"
"OKV_PEOPLESOFTHCM_PO,""psh.pshdagelijks"",""weekdagelijks om 02:00 Uur"",""bestand"",408,157,251,10074,1,68,""InitialiserenBronzone"",""Klaar"",05-01-2024 02:03_53,05-01-2024 02:04_51,1"
